Channel Statistics Report (Testing Phase)
Summary per channel (Final State):
Channel                                       | Total  | Active | Failed | Success%
https://t.me/s/speedconfig00                  | 14     | 1      | 13     |    7.1%
https://t.me/s/configshubplus                 | 15     | 1      | 14     |    6.7%
https://t.me/s/gh_v2rayng                     | 16     | 1      | 15     |    6.2%
https://t.me/s/kafing_2                       | 17     | 1      | 16     |    5.9%
https://t.me/s/farahvpn                       | 18     | 1      | 17     |    5.6%
https://t.me/s/filter_breaker                 | 18     | 1      | 17     |    5.6%
https://t.me/s/vpnaloo                        | 18     | 1      | 17     |    5.6%
https://t.me/s/configfa                       | 19     | 1      | 18     |    5.3%
https://t.me/s/vpnplusee_free                 | 19     | 1      | 18     |    5.3%
https://t.me/s/nicolv2ray                     | 20     | 1      | 19     |    5.0%
https://t.me/s/v2ray_onli                     | 20     | 1      | 19     |    5.0%
https://t.me/s/NamiraNet                      | 0      | 0      | 0      |    0.0%
https://t.me/s/appsooner                      | 13     | 0      | 13     |    0.0%
https://t.me/s/argo_vpn1                      | 0      | 0      | 0      |    0.0%
https://t.me/s/asak_vpn                       | 11     | 0      | 11     |    0.0%
https://t.me/s/expressvpn_420                 | 20     | 0      | 20     |    0.0%
https://t.me/s/flystoreir                     | 16     | 0      | 16     |    0.0%
https://t.me/s/g0dv2ray                       | 11     | 0      | 11     |    0.0%
https://t.me/s/hooshemasnui                   | 0      | 0      | 0      |    0.0%
https://t.me/s/huiguo62                       | 6      | 0      | 6      |    0.0%
https://t.me/s/jiedianf                       | 3      | 0      | 3      |    0.0%
https://t.me/s/lranonline_new                 | 5      | 0      | 5      |    0.0%
https://t.me/s/m_vipv2ray                     | 12     | 0      | 12     |    0.0%
https://t.me/s/mxv2ray                        | 11     | 0      | 11     |    0.0%
https://t.me/s/netfreedom0                    | 2      | 0      | 2      |    0.0%
https://t.me/s/nofiltering2                   | 18     | 0      | 16     |    0.0%
https://t.me/s/nufilter                       | 7      | 0      | 7      |    0.0%
https://t.me/s/ohvpn                          | 16     | 0      | 16     |    0.0%
https://t.me/s/prrofile_purple                | 14     | 0      | 14     |    0.0%
https://t.me/s/saferoadnet                    | 8      | 0      | 8      |    0.0%
https://t.me/s/v2aryng_vpn                    | 13     | 0      | 13     |    0.0%
https://t.me/s/v2mystery                      | 18     | 0      | 18     |    0.0%
https://t.me/s/v2pedia                        | 7      | 0      | 7      |    0.0%
https://t.me/s/v2ra_ng_iran                   | 15     | 0      | 15     |    0.0%
https://t.me/s/v2rayng14                      | 17     | 0      | 17     |    0.0%
https://t.me/s/v2rayng_fars                   | 14     | 0      | 14     |    0.0%
https://t.me/s/v2rayproxy                     | 0      | 0      | 0      |    0.0%
https://t.me/s/vistav2ray                     | 13     | 0      | 13     |    0.0%
https://t.me/s/vpn_ioss                       | 7      | 0      | 7      |    0.0%
https://t.me/s/vpnod                          | 13     | 0      | 13     |    0.0%
satelli-tenewspersian.txt                     | 0      | 0      | 0      |    0.0%
